Class,Name,c5_order,c5_x,c5_y
0,C/B#,0,-0,1
1,C#/Db,5,-0.49999999999999994,-0.8660254037844387
2,D,10,0.8660254037844386,0.5000000000000001
3,D#/Eb,3,-1,6.123031769111886e-17
4,E/Fb,8,0.8660254037844384,-0.5000000000000004
5,F/E#,1,-0.49999999999999994,0.8660254037844387
6,F#/Gb,6,-1.2246063538223773e-16,-1
7,G,11,0.5000000000000004,0.8660254037844384
8,G#/Ab,4,-0.8660254037844387,-0.4999999999999998
9,A,9,1,-1.836909530733566e-16
10,A#/Bb,2,-0.8660254037844386,0.5000000000000001
11,B/Cb,7,0.4999999999999997,-0.8660254037844388
